window,transactions,positives,prevalence,positive_clients
0,488143,318,0.0006514484485079168,5
1,500352,276,0.0005516116653875671,5
2,507383,319,0.0006287163740212029,5
3,491153,376,0.0007655455631951755,5
4,499571,355,0.0007106097031252815,5
5,497209,370,0.0007441538668849518,5
6,505932,394,0.0007787607820813864,5
7,547064,522,0.0009541845195443312,5
8,526643,452,0.0008582664157693162,5
9,495416,645,0.0013019361506289664,5
10,505254,545,0.001078665384143421,5
11,515348,695,0.0013486032739042355,5
12,498251,668,0.001340689732684932,5
13,506079,493,0.0009741562088132485,5
14,500499,772,0.0015424606242969516,5
15,514336,606,0.0011782181297828656,5
16,500740,747,0.00149179214762152,5
17,491952,585,0.001189140403941848,5
18,413527,735,0.0017773930118226862,5
