window,transactions,positives,prevalence,positive_clients
0,488306,481,0.0009850380703902881,5
1,500402,326,0.0006514762131246478,5
2,507503,439,0.0008650195171260071,5
3,491219,442,0.000899802328492994,5
4,499636,420,0.000840611965510892,5
5,497296,457,0.0009189697886168399,5
6,505934,396,0.0007827107883636996,5
7,547152,610,0.0011148638769482703,5
8,526671,480,0.0009113849063267201,5
9,495336,565,0.0011406398888835054,5
10,505173,464,0.0009184972276823979,5
11,515276,623,0.0012090607751962055,5
12,498184,601,0.0012063815778908997,5
13,506045,459,0.0009070339594304854,5
14,500426,699,0.0013968099179499068,5
15,514289,559,0.001086937500121527,5
16,500669,676,0.0013501934411757068,5
17,491878,511,0.001038875493516685,5
18,413457,665,0.00160838974790607,5
