window,transactions,positives,prevalence,positive_clients
0,488223,398,0.0008152012502483496,5
1,500368,292,0.0005835704921178013,5
2,507432,368,0.0007252203250878935,5
3,491161,384,0.0007818210322073617,5
4,499608,392,0.0007846151382684024,5
5,497251,412,0.0008285553975758721,5
6,505986,448,0.0008853999913041072,5
7,547170,628,0.0011477237421642268,5
8,526691,500,0.0009493232274711359,5
9,495392,621,0.0012535527420709255,5
10,505212,503,0.0009956216400243858,5
11,515322,669,0.001298217425221512,5
12,498212,629,0.001262514752755855,5
13,506058,472,0.0009326994139011734,5
14,500444,717,0.0014327277377688612,5
15,514288,558,0.0010849951777992099,5
16,500674,681,0.0013601664955639797,5
17,491890,523,0.0010632458476488645,5
18,413470,678,0.0016397803951919124,5
