window,transactions,positives,prevalence,positive_clients
0,488158,333,0.0006821561871361322,5
1,500358,282,0.0005635964649311093,5
2,507399,335,0.000660229917678198,5
3,491137,360,0.0007329930345300802,5
4,499569,353,0.0007066090970416499,5
5,497210,371,0.0007461635928480923,5
6,505913,375,0.00074123416476746,5
7,547080,538,0.0009834027930101632,5
8,526621,430,0.0008165264962848044,5
9,495418,647,0.001305967889741592,5
10,505251,542,0.0010727341459987215,5
11,515348,695,0.0013486032739042355,5
12,498235,652,0.0013086194265758127,5
13,506104,518,0.0010235050503453835,5
14,500484,757,0.0015125358652824067,5
15,514360,630,0.0012248230811105062,5
16,500746,753,0.0015037563954579767,5
17,491955,588,0.0011952312711528492,5
18,413506,714,0.0017266980406572094,5
