window,transactions,positives,prevalence,positive_clients
0,488288,463,0.00094821089193263,5
1,500396,320,0.000639493521131264,5
2,507501,437,0.0008610820471289712,5
3,491211,434,0.0008835307026919185,5
4,499630,414,0.000828613173748574,5
5,497295,456,0.0009169607576991524,5
6,505968,430,0.0008498561173829175,5
7,547133,591,0.0010801761180553905,5
8,526677,486,0.0009227667052102142,5
9,495325,554,0.001118457578357644,5
10,505179,470,0.0009303632969699849,5
11,515263,610,0.0011838614455142325,5
12,498190,607,0.0012184106465404766,5
13,506033,447,0.000883341600251367,5
14,500443,716,0.0014307323711191884,5
15,514296,566,0.001100533544884658,5
16,500672,679,0.0013561772977118752,5
17,491889,522,0.0010612150302202327,5
18,413463,671,0.001622877984245265,5
