window,transactions,positives,prevalence,positive_clients
0,488272,447,0.0009154733427270046,5
1,500381,305,0.0006095355339231505,5
2,507481,417,0.0008217056402111606,5
3,491200,423,0.000861156351791531,5
4,499624,408,0.0008166140937985365,5
5,497297,458,0.0009209788114547242,5
6,505941,403,0.0007965355644235198,5
7,547175,633,0.001156851098825787,5
8,526658,467,0.0008867234524112422,5
9,495331,560,0.0011305571425975762,5
10,505191,482,0.000954094589966963,5
11,515285,632,0.001226505720135459,5
12,498199,616,0.0012364537062499123,5
13,506041,455,0.0008991366312215809,5
14,500440,713,0.0014247462233234753,5
15,514302,572,0.0011121870029671282,5
16,500679,686,0.0013701393507616656,5
17,491894,527,0.0010713690347920488,5
18,413461,669,0.0016180486188540153,5
