window,transactions,positives,prevalence,positive_clients
0,488136,311,0.0006371175246242851,5
1,500350,274,0.0005476166683321675,5
2,507371,307,0.0006050799119382069,5
3,491120,343,0.0006984036488027366,5
4,499555,339,0.0006786039575221947,5
5,497188,349,0.000701947754169449,5
6,505915,377,0.0007451844677465583,5
7,547032,490,0.0008957428450255195,5
8,526619,428,0.0008127317852185356,5
9,495456,685,0.001382564748433766,5
10,505268,559,0.0011063435642075096,5
11,515363,710,0.0013776697201778165,5
12,498247,664,0.0013326723492564933,5
13,506112,526,0.0010392956499747092,5
14,500520,793,0.0015843522736354193,5
15,514369,639,0.0012422988166083105,5
16,500757,764,0.0015256901051807564,5
17,491956,589,0.0011972615437152916,5
18,413518,726,0.0017556672260941482,5
