window,transactions,positives,prevalence,positive_clients
0,488192,367,0.0007517534084950184,5
1,500364,288,0.0005755809770487086,5
2,507422,358,0.0007055271549124792,5
3,491149,372,0.0007574076298638499,5
4,499586,370,0.0007406132277525792,5
5,497230,391,0.0007863564145365324,5
6,505983,445,0.0008794761879351678,5
7,547132,590,0.0010783503797986592,5
8,526680,489,0.0009284575074048759,5
9,495398,627,0.0012656490337062322,5
10,505239,530,0.0010490084890517162,5
11,515333,680,0.0013195351355337229,5
12,498223,640,0.0012845653452369721,5
13,506056,470,0.000928750968272286,5
14,500458,731,0.0014606620335772431,5
15,514323,593,0.0011529719650880867,5
16,500704,711,0.001420000639100147,5
17,491902,535,0.0010876150127464414,5
18,413478,686,0.0016590967354974146,5
