window,transactions,positives,prevalence,positive_clients
0,488220,395,0.0008090614886731392,5
1,500377,301,0.0006015464339887724,5
2,507445,381,0.0007508202859423189,5
3,491168,391,0.0007960616326796534,5
4,499603,387,0.0007746150443452101,5
5,497260,421,0.0008466395849253912,5
6,505980,442,0.0008735523143207242,5
7,547177,635,0.0011605019947841374,5
8,526709,518,0.000983465253109402,5
9,495391,620,0.001251536664977765,5
10,505219,510,0.001009463222879583,5
11,515309,656,0.001273022594210464,5
12,498196,613,0.0012304394254470127,5
13,506030,444,0.0008774183348813311,5
14,500428,701,0.001400800914417259,5
15,514290,560,0.0010888798148904315,5
16,500697,704,0.0014060399802675071,5
17,491889,522,0.0010612150302202327,5
18,413464,672,0.0016252926494205058,5
