window,transactions,positives,prevalence,positive_clients
0,488235,410,0.0008397595420238205,5
1,500377,301,0.0006015464339887724,5
2,507442,378,0.0007449127190890781,5
3,491166,389,0.0007919929311067949,5
4,499597,381,0.000762614667421942,5
5,497250,411,0.0008265460030165913,5
6,505931,393,0.0007767857672291281,5
7,547094,552,0.0010089673803770466,5
8,526659,468,0.000888620530552027,5
9,495370,599,0.0012091971657548902,5
10,505187,478,0.0009461842842353426,5
11,515299,646,0.0012536410899303123,5
12,498221,638,0.001280556219027299,5
13,506085,499,0.0009860003754310048,5
14,500459,732,0.001462657280616394,5
15,514338,608,0.0011821020418479678,5
16,500705,712,0.0014219949870682338,5
17,491928,561,0.0011404107918231937,5
18,413509,717,0.0017339404946446148,5
