window,transactions,positives,prevalence,positive_clients
0,488286,461,0.0009441188156121618,5
1,500390,314,0.0006275105417774136,5
2,507495,431,0.0008492694509305511,5
3,491201,424,0.0008631904251009261,5
4,499631,415,0.0008306129923883826,5
5,497298,459,0.0009229878262128542,5
6,505948,410,0.0008103599579403417,5
7,547153,611,0.0011166894817354561,5
8,526660,469,0.0008905176014886264,5
9,495331,560,0.0011305571425975762,5
10,505178,469,0.0009283856383294601,5
11,515286,633,0.0012284440097344,5
12,498198,615,0.0012344489540303252,5
13,506033,447,0.000883341600251367,5
14,500426,699,0.0013968099179499068,5
15,514295,565,0.0010985912754353047,5
16,500693,700,0.0013980622856720585,5
17,491891,524,0.0010652766568203119,5
18,413459,667,0.0016132192067411762,5
