window,transactions,positives,prevalence,positive_clients
0,488229,404,0.0008274805470383775,5
1,500376,300,0.0005995491390474363,5
2,507443,379,0.0007468819158013806,5
3,491178,401,0.0008164046435304513,5
4,499611,395,0.0007906150985466694,5
5,497258,419,0.000842620933197656,5
6,505984,446,0.0008814507968631419,5
7,547155,613,0.001120340671290585,5
8,526694,503,0.0009550137271356803,5
9,495386,615,0.001241456157420678,5
10,505216,507,0.0010035311629085382,5
11,515330,677,0.0013137213047949858,5
12,498183,600,0.001204376704945773,5
13,506040,454,0.0008971622796616868,5
14,500440,713,0.0014247462233234753,5
15,514301,571,0.00111024477883574,5
16,500681,688,0.0013741284370687125,5
17,491880,513,0.0010429373017809222,5
18,413467,675,0.0016325365748657088,5
