window,typology,positives
0,0,18
0,1,9
0,2,4
0,3,5
0,4,12
0,5,5
0,6,14
0,7,8
0,8,235
1,0,23
1,1,8
1,2,8
1,3,18
1,4,13
1,5,8
1,6,39
1,7,27
1,8,252
2,0,29
2,1,14
2,2,17
2,3,21
2,4,14
2,5,7
2,6,23
2,7,32
2,8,206
3,0,34
3,1,28
3,2,23
3,3,36
3,4,23
3,5,6
3,6,18
3,7,31
3,8,184
4,0,16
4,1,29
4,2,34
4,3,48
4,4,18
4,5,12
4,6,23
4,7,31
4,8,223
5,0,17
5,1,36
5,2,55
5,3,68
5,4,27
5,5,22
5,6,19
5,7,56
5,8,236
6,0,33
6,1,24
6,2,41
6,3,75
6,4,25
6,5,24
6,6,21
6,7,64
6,8,196
7,0,28
7,1,32
7,2,74
7,3,62
7,4,29
7,5,12
7,6,21
7,7,71
7,8,244
8,0,27
8,1,23
8,2,86
8,3,53
8,4,21
8,5,19
8,6,19
8,7,48
8,8,253
9,0,35
9,1,26
9,2,79
9,3,58
9,4,25
9,5,22
9,6,19
9,7,29
9,8,182
