window,transactions,positives,prevalence,positive_clients
0,488165,340,0.0006964858193438694,5
1,500362,286,0.0005715861716117531,5
2,507405,341,0.0006720469841645235,5
3,491133,356,0.00072485457096143,5
4,499576,360,0.0007206110781943088,5
5,497205,366,0.0007361148821914502,5
6,505953,415,0.0008202342905368681,5
7,547100,558,0.0010199232315847193,5
8,526670,479,0.0009094879146334517,5
9,495419,648,0.0013079837470908464,5
10,505228,519,0.0010272589801040323,5
11,515362,709,0.0013757320097329644,5
12,498224,641,0.0012865698962715565,5
13,506076,490,0.0009682340201866913,5
14,500473,746,0.0014905899019527528,5
15,514337,607,0.0011801600895910659,5
16,500728,735,0.0014678627917751753,5
17,491924,557,0.0011322887275270165,5
18,413512,720,0.0017411828435450482,5
